2018-07-17 03:12:38 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u2
2018-07-17 03:12:38 status half-configured libldap-common:all 2.4.44+dfsg-5+deb9u2
2018-07-17 03:12:38 status installed libldap-common:all 2.4.44+dfsg-5+deb9u2
2018-07-17 03:12:38 configure libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3 <none>
2018-07-17 03:12:38 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-07-17 03:12:38 status half-configured libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-07-17 03:12:38 status installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-07-17 03:12:38 configure libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3 <none>
2018-07-17 03:12:38 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-07-17 03:12:38 status half-configured libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-07-17 03:12:38 status installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-07-17 03:12:38 configure libtasn1-6:amd64 4.10-1.1+deb9u1 <none>
2018-07-17 03:12:38 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2018-07-17 03:12:38 status half-configured libtasn1-6:amd64 4.10-1.1+deb9u1
2018-07-17 03:12:38 status installed libtasn1-6:amd64 4.10-1.1+deb9u1
2018-07-17 03:12:38 configure libssl1.0.2:amd64 1.0.2l-2+deb9u3 <none>
2018-07-17 03:12:38 status unpacked libssl1.0.2:amd64 1.0.2l-2+deb9u3
2018-07-17 03:12:38 status half-configured libssl1.0.2:amd64 1.0.2l-2+deb9u3
2018-07-17 03:12:38 status installed libssl1.0.2:amd64 1.0.2l-2+deb9u3
2018-07-17 03:12:38 configure libgmp10:amd64 2:6.1.2+dfsg-1 <none>
2018-07-17 03:12:38 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2018-07-17 03:12:38 status half-configured libgmp10:amd64 2:6.1.2+dfsg-1
2018-07-17 03:12:38 status installed libgmp10:amd64 2:6.1.2+dfsg-1
2018-07-17 03:12:38 configure libssh2-1:amd64 1.7.0-1 <none>
2018-07-17 03:12:38 status unpacked libssh2-1:amd64 1.7.0-1
2018-07-17 03:12:38 status half-configured libssh2-1:amd64 1.7.0-1
2018-07-17 03:12:38 status installed libssh2-1:amd64 1.7.0-1
2018-07-17 03:12:38 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2018-07-17 03:12:38 status half-configured libc-bin:amd64 2.24-11+deb9u3
2018-07-17 03:12:38 status installed libc-bin:amd64 2.24-11+deb9u3
2018-07-17 03:12:38 configure libunistring0:amd64 0.9.6+really0.9.3-0.1 <none>
2018-07-17 03:12:38 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-07-17 03:12:38 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-07-17 03:12:38 status half-configured libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-07-17 03:12:38 status installed libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-07-17 03:12:38 configure libssl1.1:amd64 1.1.0f-3+deb9u2 <none>
2018-07-17 03:12:38 status unpacked libssl1.1:amd64 1.1.0f-3+deb9u2
2018-07-17 03:12:38 status half-configured libssl1.1:amd64 1.1.0f-3+deb9u2
2018-07-17 03:12:39 status installed libssl1.1:amd64 1.1.0f-3+deb9u2
